Date,Open,High,Low,Close,Volume,Adj Close
2014-06-06,649.90,651.26,644.47,645.57,12497800,645.57
2014-06-05,646.20,649.37,642.61,647.35,10850200,647.35
2014-06-04,637.44,647.89,636.11,644.82,11981500,644.82
2014-06-03,628.46,638.74,628.25,637.54,10453900,637.54
2014-06-02,633.96,634.83,622.50,628.65,13191100,628.65
2014-05-30,637.98,644.17,628.90,633.00,20143600,633.00
2014-05-29,627.85,636.87,627.77,635.38,13445500,635.38
2014-05-28,626.02,629.83,623.78,624.01,11267200,624.01
2014-05-27,615.88,625.86,615.63,625.63,12459500,625.63
2014-05-23,607.25,614.73,606.47,614.13,8293200,614.13
2014-05-22,606.60,609.85,604.10,607.27,7170000,607.27
2014-05-21,603.83,606.70,602.06,606.31,7030700,606.31
2014-05-20,604.51,606.40,600.73,604.71,8387000,604.71
2014-05-19,597.85,607.33,597.33,604.59,11348400,604.59
2014-05-16,588.63,597.53,585.40,597.51,9866300,597.51
2014-05-15,594.70,596.60,588.04,588.82,8244500,588.82
2014-05-14,592.43,597.40,591.74,593.87,5943000,593.87
2014-05-13,592.00,594.54,590.70,593.76,5704900,593.76
2014-05-12,587.49,593.66,587.40,592.83,7614600,592.83
2014-05-09,584.54,586.25,580.33,585.54,10414200,585.54
2014-05-08,588.25,594.41,586.40,587.99,8224900,587.99
2014-05-07,595.25,597.29,587.73,592.33,10102300,589.04
2014-05-06,601.80,604.41,594.41,594.41,13377300,591.11
2014-05-05,590.14,601.00,590.00,600.96,10252400,597.62
2014-05-02,592.34,594.20,589.71,592.58,6839800,589.29
2014-05-01,592.00,594.80,586.36,591.48,8716000,588.19
2014-04-30,592.64,599.43,589.80,590.09,16308600,586.81
2014-04-29,593.74,595.98,589.51,592.33,12049200,589.04
2014-04-28,572.80,595.75,572.55,594.09,23910200,590.79
2014-04-25,564.53,571.99,563.96,571.94,13938400,568.76
2014-04-24,568.21,570.00,560.73,567.77,27139700,564.62
2014-04-23,529.06,531.13,524.45,524.75,14105000,521.84
2014-04-22,528.31,531.83,526.50,531.70,7234400,528.75
2014-04-21,525.34,532.14,523.96,531.17,6519600,528.22
2014-04-17,520.00,527.76,519.20,524.94,10158100,522.02
2014-04-16,518.05,521.09,514.14,519.01,7670200,516.13
2014-04-15,520.27,521.64,511.33,517.96,9517500,515.08
2014-04-14,521.90,522.16,517.21,521.68,7345500,518.78
2014-04-11,519.00,522.83,517.14,519.61,9704200,516.72
2014-04-10,530.68,532.24,523.17,523.48,8559000,520.57
2014-04-09,522.64,530.49,522.02,530.32,7363200,527.37
2014-04-08,525.19,526.12,518.70,523.44,8710300,520.53
2014-04-07,528.02,530.90,521.89,523.47,10351800,520.56
2014-04-04,539.81,540.00,530.58,531.82,9830400,528.87
2014-04-03,541.39,542.50,537.64,538.79,5798000,535.80
2014-04-02,542.38,543.48,540.26,542.55,6443600,539.54
2014-04-01,537.76,541.87,536.77,541.65,7170000,538.64
2014-03-31,539.23,540.81,535.93,536.74,6023900,533.76
2014-03-28,538.32,538.94,534.25,536.86,7163000,533.88
2014-03-27,540.02,541.50,535.12,537.46,7929700,534.47
2014-03-26,546.52,549.00,538.86,539.78,10706000,536.78
2014-03-25,541.50,545.75,539.59,544.99,10081900,541.96
2014-03-24,538.42,540.50,535.06,539.19,12703600,536.20
2014-03-21,531.93,533.75,526.33,532.87,13358800,529.91
2014-03-20,529.89,532.67,527.35,528.70,7442800,525.76
2014-03-19,532.26,536.24,529.00,531.26,8027000,528.31
2014-03-18,525.90,531.97,525.20,531.40,7487400,528.45
2014-03-17,527.70,529.97,525.85,526.74,7126600,523.81
2014-03-14,528.79,530.89,523.00,524.69,8471400,521.78
2014-03-13,537.44,539.66,529.16,530.65,9205100,527.70
2014-03-12,534.51,537.35,532.00,536.61,7118800,533.63
2014-03-11,535.45,538.74,532.59,536.09,9972300,533.11
2014-03-10,528.36,533.33,528.34,530.92,6378000,527.97
2014-03-07,531.09,531.98,526.05,530.44,7883200,527.49
2014-03-06,532.79,534.44,528.10,530.75,6624600,527.80
2014-03-05,530.92,534.75,529.13,532.36,7145100,529.40
2014-03-04,531.00,532.64,527.77,531.24,9255000,528.29
2014-03-03,523.42,530.65,522.81,527.76,8527900,524.83
2014-02-28,529.08,532.75,522.12,526.24,13284600,523.32
2014-02-27,517.14,528.78,516.05,527.67,10781500,524.74
2014-02-26,523.61,525.00,515.60,517.35,9864900,514.48
2014-02-25,529.38,529.57,521.00,522.06,8284000,519.16
2014-02-24,523.15,529.92,522.42,527.55,10318200,524.62
2014-02-21,532.79,534.57,524.60,525.25,9956600,522.33
2014-02-20,532.99,537.00,529.00,531.15,10923500,528.20
2014-02-19,544.75,546.89,534.35,537.37,11206000,534.39
2014-02-18,546.00,551.19,545.61,545.99,9294700,542.96
2014-02-14,542.47,545.98,541.21,543.99,9747300,540.97
2014-02-13,534.66,544.85,534.20,544.43,10978500,541.41
2014-02-12,536.95,539.56,533.24,535.92,11003600,532.94
2014-02-11,530.61,537.75,529.50,535.96,10080600,532.98
2014-02-10,518.66,531.99,518.00,528.99,12341400,526.05
2014-02-07,521.38,522.93,517.38,519.68,13224300,516.79
2014-02-06,510.06,513.50,507.81,512.51,9205900,509.66
2014-02-05,506.56,515.28,506.25,512.59,11726600,506.71
2014-02-04,505.85,509.46,502.76,508.79,13452900,502.95
2014-02-03,502.61,507.73,499.30,501.53,14338000,495.78
2014-01-31,495.18,501.53,493.55,500.60,16599900,494.86
2014-01-30,502.54,506.50,496.70,499.78,24232200,494.05
2014-01-29,503.95,507.37,498.62,500.75,17957500,495.01
2014-01-28,508.76,515.00,502.07,506.50,38054400,500.69
2014-01-27,550.07,554.80,545.75,550.50,19817100,544.18
2014-01-24,554.00,555.62,544.75,546.07,15334100,539.81
2014-01-23,549.94,556.50,544.81,556.18,14401400,549.80
2014-01-22,550.91,557.29,547.81,551.51,13570900,545.18
2014-01-21,540.99,550.07,540.42,549.07,11733100,542.77
2014-01-17,551.48,552.07,539.90,540.67,15240700,534.47
2014-01-16,554.90,556.85,551.68,554.25,8188500,547.89
2014-01-15,553.52,560.20,551.66,557.36,13987100,550.97
2014-01-14,538.22,546.73,537.66,546.39,11877200,540.12
2014-01-13,529.91,542.50,529.88,535.73,13517600,529.58
2014-01-10,539.83,540.80,531.11,532.94,10892000,526.83
2014-01-09,546.80,546.86,535.35,536.52,9969600,530.37
2014-01-08,538.81,545.56,538.69,543.46,9233200,537.23
2014-01-07,544.32,545.96,537.92,540.04,11328900,533.84
2014-01-06,537.45,546.80,533.60,543.93,14736100,537.69
2014-01-03,552.86,553.70,540.43,540.98,14016700,534.77
2014-01-02,555.68,557.03,552.02,553.13,8381600,546.78
2013-12-31,554.17,561.28,554.00,561.02,7967300,554.58
2013-12-30,557.46,560.09,552.32,554.52,9058200,548.16
2013-12-27,563.82,564.41,559.50,560.09,8067300,553.66
2013-12-26,568.10,569.50,563.38,563.90,7286000,557.43
2013-12-24,569.89,571.88,566.03,567.67,5984100,561.16
2013-12-23,568.00,570.72,562.76,570.09,17903800,563.55
2013-12-20,545.43,551.61,544.82,549.02,15586200,542.72
2013-12-19,549.50,550.00,543.73,544.46,11439600,538.21
2013-12-18,549.70,551.45,538.80,550.77,20209400,544.45
2013-12-17,555.81,559.44,553.38,554.99,8210800,548.62
2013-12-16,555.02,562.64,555.01,557.50,10092600,551.10
2013-12-13,562.85,562.88,553.67,554.43,11886500,548.07
2013-12-12,562.14,565.34,560.03,560.54,9367500,554.11
2013-12-11,567.00,570.97,559.69,561.36,12847100,554.92
2013-12-10,563.58,567.88,561.20,565.55,9938200,559.06
2013-12-09,560.90,569.58,560.90,566.43,11446200,559.93
2013-12-06,565.79,566.75,559.57,560.02,12298300,553.60
2013-12-05,572.65,575.14,566.41,567.90,15985000,561.39
2013-12-04,565.50,569.19,560.82,565.00,13493200,558.52
2013-12-03,558.30,566.38,557.68,566.32,16106000,559.82
2013-12-02,558.00,564.33,550.82,551.23,16876600,544.91
2013-11-29,549.48,558.33,547.81,556.07,11361700,549.69
2013-11-27,536.31,546.00,533.40,545.96,12980300,539.70
2013-11-26,524.12,536.14,524.00,533.40,14335100,527.28
2013-11-25,521.02,525.87,521.00,523.74,8189700,517.73
2013-11-22,519.52,522.16,518.53,519.80,7990200,513.84
2013-11-21,517.60,521.21,513.67,521.14,9358100,515.16
2013-11-20,519.23,520.42,514.33,515.00,6925600,509.09
2013-11-19,519.03,523.38,517.97,519.55,7462100,513.59
2013-11-18,524.99,527.19,518.20,518.63,8748000,512.68
2013-11-15,526.58,529.09,524.49,524.99,11354300,518.97
2013-11-14,522.81,529.28,521.87,528.16,10086400,522.10
2013-11-13,518.00,522.25,516.96,520.63,7043600,514.66
2013-11-12,517.67,523.92,517.00,520.01,7295600,514.04
2013-11-11,519.99,521.67,514.41,519.05,8123300,513.10
2013-11-08,514.58,521.13,512.59,520.56,9975600,514.59
2013-11-07,519.58,523.19,512.38,512.49,9379300,506.61
2013-11-06,524.15,524.86,518.20,520.92,7977700,514.94
2013-11-05,524.58,528.89,523.00,525.45,9471900,516.41
2013-11-04,521.10,526.82,518.81,526.75,8736700,517.68
2013-11-01,524.02,524.80,515.84,520.03,9817500,511.08
2013-10-31,525.00,527.49,521.27,522.70,9846300,513.70
2013-10-30,519.61,527.52,517.02,524.90,12648700,515.87
2013-10-29,536.27,539.25,514.54,516.68,22707400,507.79
2013-10-28,529.04,531.00,523.21,529.88,19658600,520.76
2013-10-25,531.32,533.23,525.11,525.96,12064000,516.91
2013-10-24,525.00,532.47,522.45,531.91,13741600,522.76
2013-10-23,519.00,525.67,519.00,524.96,11204400,515.93
2013-10-22,526.41,528.45,508.03,519.87,19073700,510.92
2013-10-21,511.77,524.30,511.52,521.36,14218100,512.39
2013-10-18,505.99,509.26,505.71,508.89,10376500,500.13
2013-10-17,499.98,504.78,499.68,504.50,9056900,495.82
2013-10-16,500.79,502.53,499.23,501.11,8967900,492.49
2013-10-15,497.51,502.00,495.52,498.68,11431200,490.10
2013-10-14,489.83,497.58,489.35,496.04,9353500,487.50
2013-10-11,486.99,493.84,485.16,492.81,9562100,484.33
2013-10-10,491.32,492.38,487.04,489.64,9950100,481.21
2013-10-09,484.64,487.79,478.28,486.59,10775900,478.22
2013-10-08,489.94,490.64,480.54,480.94,10389900,472.66
2013-10-07,486.56,492.65,485.35,487.75,11153300,479.36
2013-10-04,483.86,484.60,478.60,483.03,9245300,474.72
2013-10-03,490.51,492.35,480.74,483.41,11526900,475.09
2013-10-02,485.63,491.80,483.75,489.56,10328000,481.13
2013-10-01,478.45,489.14,478.38,487.96,12638700,479.56
2013-09-30,477.25,481.66,474.41,476.75,9291300,468.55
2013-09-27,483.78,484.67,480.72,482.75,8144300,474.44
2013-09-26,486.00,488.56,483.90,486.22,8472200,477.85
2013-09-25,489.20,489.64,481.43,481.53,11319900,473.24
2013-09-24,494.88,495.47,487.82,489.10,13012300,480.68
2013-09-23,496.10,496.91,482.60,490.64,27218100,482.20
2013-09-20,478.00,478.55,466.00,467.41,24975100,459.37
2013-09-19,470.70,475.83,469.25,472.30,14447900,464.17
2013-09-18,463.18,466.35,460.66,464.68,16316500,456.68
2013-09-17,447.96,459.71,447.50,455.32,14263600,447.48
2013-09-16,461.00,461.61,447.22,450.12,19418100,442.37
2013-09-13,469.34,471.83,464.70,464.90,10672700,456.90
2013-09-12,468.50,475.40,466.01,472.69,14430400,464.56
2013-09-11,467.01,473.69,464.81,467.71,32096300,459.66
2013-09-10,506.20,507.45,489.50,494.64,26542700,486.13
2013-09-09,505.00,507.92,503.48,506.17,12167400,497.46
2013-09-06,498.44,499.38,489.95,498.22,12840200,489.65
2013-09-05,500.25,500.68,493.64,495.27,8441700,486.75
2013-09-04,499.56,502.24,496.28,498.69,12322600,490.11
2013-09-03,493.10,500.60,487.35,488.58,11854600,480.17
